Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.06848	16.854574	0.136964	28.558283	0.68484	0							0.06848	-0.229876
0.069061	16.855553	0.138125	28.559395	0.690644	0							0.069061	-0.229578
0.069641	16.856867	0.139286	28.560453	0.696448	0							0.069641	-0.229281
0.070221	16.856174	0.140447	28.56152	0.702251	0							0.070221	-0.229052
0.070802	16.855684	0.141607	28.562696	0.708055	0							0.070802	-0.228823
0.071382	16.85602	0.142768	28.563906	0.713859	0							0.071382	-0.228595
0.071962	16.856453	0.143929	28.564926	0.719663	0							0.071962	-0.228366
0.072543	16.856688	0.145089	28.56583	0.725466	0							0.072543	-0.228137
0.073123	16.857193	0.14625	28.566633	0.73127	0							0.073123	-0.227908
0.073703	16.857199	0.147411	28.567442	0.737074	0							0.073703	-0.227679
0.074284	16.857121	0.148572	28.568235	0.742877	0							0.074284	-0.22745
0.074864	16.857531	0.149732	28.569038	0.748681	0							0.074864	-0.227221
0.075445	16.857908	0.150893	28.569798	0.754485	0							0.075445	-0.226992
0.076025	16.858355	0.152054	28.570494	0.760289	0							0.076025	-0.226757
0.076605	16.857824	0.153214	28.570992	0.766092	0							0.076605	-0.226523
0.077186	16.858133	0.154375	28.571352	0.771896	0							0.077186	-0.226289
0.077766	16.858446	0.155536	28.571701	0.7777	0							0.077766	-0.226054
0.078346	16.858309	0.156697	28.572029	0.783504	0							0.078346	-0.22582
0.078927	16.858541	0.157857	28.572361	0.789307	0							0.078927	-0.225585
0.079507	16.858429	0.159018	28.572716	0.795111	0							0.079507	-0.225351
0.080087	16.858055	0.160179	28.57309	0.800915	0							0.080087	-0.225116
0.080668	16.85759	0.161339	28.573648	0.806719	0							0.080668	-0.224882
0.081248	16.857328	0.1625	28.574543	0.812522	0							0.081248	-0.224647
0.081828	16.857052	0.163661	28.575687	0.818326	0							0.081828	-0.224325
